name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Mogens Jensen;Q12327462;http://commons.wikimedia.org/wiki/Special:FilePath/Mogens%20Jensen%20%28S%29%20Danmark.jpg;FALSCH;;MogensJensenS;;WAHR
Morten Dahlin;Q12327663;http://commons.wikimedia.org/wiki/Special:FilePath/Morten%20Dahlin%20Venstre.jpg;FALSCH;;MortenDahlin;;WAHR
Morten Messerschmidt;Q1338185;http://commons.wikimedia.org/wiki/Special:FilePath/Messerschmidt.jpg;FALSCH;;MrMesserschmidt;;WAHR
Naser Khader;Q558865;http://commons.wikimedia.org/wiki/Special:FilePath/Naser%20Khader-2011-09-09.jpg;FALSCH;;naserkhaderdk;;WAHR
Niels Flemming Hansen;Q64427892;;FALSCH;;NielsFlemming01;;WAHR
Nicolai Wammen;Q575363;http://commons.wikimedia.org/wiki/Special:FilePath/Nicolai%20Wammen%2C%20pressefoto.jpg;FALSCH;;nwammen;;WAHR
Ole Birk Olesen;Q12330024;http://commons.wikimedia.org/wiki/Special:FilePath/20170615%20Folkemodet%20Birk%20Olesen%20N8B9400x%20%2835162385242%29%20%28cropped%29.jpg;FALSCH;;olebirkolesen;;WAHR
Orla Østerby;Q28528045;;FALSCH;;orlaosterby;;WAHR
Anne Paulin;Q23894956;;FALSCH;;paulin_anne;;WAHR
Peder Hvelplund;Q29228030;http://commons.wikimedia.org/wiki/Special:FilePath/Peder%20Hvelplund%202000.jpg;FALSCH;;pederhvelplund;;WAHR
Per Larsen;Q12331328;;FALSCH;;PerLarsenC;;WAHR
Pernille Vermund;Q24293722;http://commons.wikimedia.org/wiki/Special:FilePath/202020612%20Altinget%20Pernille%20Vermund%20750A4243%20%28cropped%29.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Pernille%20Vermund%20-%20Ny%20Borgerlige.jpg;FALSCH;;PernilleVermund;;WAHR
Peter Seier Christensen;Q28759772;http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Seier%20Christensen.jpg;FALSCH;;peter_seier;;WAHR
Peter Juel-Jensen;Q12331601;http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Juel%20Jensen%20addresses%20the%20Bureau%2C%20Copenhagen%2C%208%20April%202019.jpg;FALSCH;;PeterJuelJensen;;WAHR
Peter Hummelgaard Thomsen;Q12331581;;FALSCH;;PHummelgaard;;WAHR
Pia Kjærsgaard;Q272924;http://commons.wikimedia.org/wiki/Special:FilePath/Pia%20Kj%C3%A6rsgaard%20%282014%29.JPG;FALSCH;;pia_kjaersgaard;;WAHR
Pia Olsen Dyhr;Q531614;http://commons.wikimedia.org/wiki/Special:FilePath/Pia%20Olsen%20Dyhr%20OKT%202018%20Foto%20William%20Vest-Lillesoe%20CROP.jpg;FALSCH;;PiaOlsen;;WAHR
Pernille Skipper;Q12331411;http://commons.wikimedia.org/wiki/Special:FilePath/20190614%20Folkemodet%20Bornholm%20Pernille%20Skipper%20Enhedslisten%200555%20%2848069006831%29%20%28cropped%29.jpg;FALSCH;;PSkipperEL;;WAHR
Christian Rabjerg Madsen;Q17580253;;FALSCH;;RabjergMadsen;;WAHR
Rasmus Helveg Petersen;Q12332907;http://commons.wikimedia.org/wiki/Special:FilePath/Rasmus%20Helveg%20Petersen.jpg;FALSCH;;rasmushelveg;;WAHR
Rasmus Horn Langhoff;Q12332910;;FALSCH;;rasmushorn;;WAHR
Rasmus Jarlov;Q10967294;http://commons.wikimedia.org/wiki/Special:FilePath/20181011%20Minister%20Rasmus%20Jarlov%20til%20Medicon%20Valley%20Alliance%20%C3%85rsm%C3%B8de%202018%20%2843432112060%29%20%28cropped%29.jpg;FALSCH;;RasmusJarlov;;WAHR
Rasmus Nordqvist;Q20197692;http://commons.wikimedia.org/wiki/Special:FilePath/Rasmus%20Nordqvist%2C%20udend%C3%B8rs%2C%202015-11-08.jpg;FALSCH;;rasmusnordqvist;;WAHR
Rasmus Prehn;Q12332940;http://commons.wikimedia.org/wiki/Special:FilePath/Rasmus%20Prehn%202012%20Folkem%C3%B8det%20Bornholm%20%28cropped%29.jpg;FALSCH;;RasmusPrehn;;WAHR
Troels Ravn;Q12343374;http://commons.wikimedia.org/wiki/Special:FilePath/Troels%20Ravn.jpg;FALSCH;;RavnTroels;;WAHR
René Christensen;Q12333237;;WAHR;;renechr67108814;;WAHR
Jens Rohde;Q546246;http://commons.wikimedia.org/wiki/Special:FilePath/Jens%20Rohde%202014.jpg;FALSCH;;rohde_jens;;WAHR
Rosa Lund;Q12333741;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20Lund%20%28cropped%29.jpg;FALSCH;;RosaLundEl;;WAHR
Pernille Rosenkrantz-Theil;Q6517082;;FALSCH;;RosenkrantzT;;WAHR
Rasmus Stoklund;Q64441603;;FALSCH;;RStoklund;;WAHR
Rune Lund;Q12333971;;FALSCH;;RuneLundEL;;WAHR
Christina Thorholm;Q108475469;;WAHR;https://pbs.twimg.com/profile_images/1434871851109527555/e94izfC2_normal.jpg;rvthorholm;MF og ordfører for social, ældre og familier, indenrigs og kommunalordfører. Vild med kajak, bjerge, smuk natur og Japan ??;WAHR
Samira Nawa;Q64442134;http://commons.wikimedia.org/wiki/Special:FilePath/Samira%2C%20Borgen%20%284%29.jpg;FALSCH;;SamiraNawa;;WAHR
Kasper Sand Kjær;Q22086020;;FALSCH;;SandKjaer;;WAHR
Signe Munk;Q57409691;http://commons.wikimedia.org/wiki/Special:FilePath/Signe%20Munk%20i%20Viborg%20AUG%202018%20Foto%20William%20Vest-Lillesoe.jpg;FALSCH;;signe_munk;;WAHR
Sikandar Siddique;Q64441830;;FALSCH;;SikandaSIDDIQUE;;WAHR
Simon Kollerup;Q12335355;http://commons.wikimedia.org/wiki/Special:FilePath/Simon%20Kollerup%20Klimatopm%C3%B8de%20Lifescience%20Christiansborg%20290120%20%2849464411496%29%20%28cropped%29.jpg;FALSCH;;simonkollerup;;WAHR
Sjúrður Skaale;Q845278;http://commons.wikimedia.org/wiki/Special:FilePath/Sjurdur%20Skaale%2C%20Island%2C%20Nordiska%20radets%20session%202011%20%28cropped%29.jpg;FALSCH;;SjurSkaale;;WAHR
