name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Jakub Janda;Q434833;http://commons.wikimedia.org/wiki/Special:FilePath/Jakub%20Janda%20%282011%29.jpg;FALSCH;;jandysj;;
Jan Volný;Q15208361;;FALSCH;;JanVolnyANO;;
Jaroslav Faltýnek;Q15124034;http://commons.wikimedia.org/wiki/Special:FilePath/Jaroslav%20Faltynek.jpg;WAHR;https://pbs.twimg.com/profile_images/1518563975335710720/ETfl_uFH_normal.jpg;JaraEfko;Kráva má žaludky na výrobu mlíka. Debil?v sluha. Falešný profil falešného Jardy.;WAHR
Jaroslav Bzoch;Q42866260;http://commons.wikimedia.org/wiki/Special:FilePath/Jaroslav%20B%C5%BEoch.jpg;FALSCH;;jaroslavbzoch;;
Jaroslav Basta;Q12023732;http://commons.wikimedia.org/wiki/Special:FilePath/Jaroslav%20Ba%C5%A1ta%209%20November%202000.jpg;WAHR;;JBastaprezident;;WAHR
Jana Berkovcová;Q104124233;;WAHR;https://pbs.twimg.com/profile_images/1488891442982440965/yZbIR1CO_normal.jpg;JBerkovcova;poslankyn? PSP ?R;WAHR
Jaroslava Pokorná Jermanová;Q15146515;http://commons.wikimedia.org/wiki/Special:FilePath/J%20Jermanov%C3%A1%202015%20Rozhlas.JPG;FALSCH;;JermanovaStKraj;;
Jirí Horák;Q107548754;http://commons.wikimedia.org/wiki/Special:FilePath/J.%20Horak.png;FALSCH;;JirHorak;;
Jirí Navrátil;Q100825776;;FALSCH;;Jiri_Navratil_;;
Jirí Hájek;Q22344604;;WAHR;;Jirihajek;;WAHR?
Jirí Strýcek;Q26719566;;FALSCH;;JiriStrycek;;
Josef Belica;Q28855142;;FALSCH;;JosefBelica;;
Josef Cogan;Q12025941;;FALSCH;;JosefCogan;;
Josef Flek;Q108872656;;WAHR;https://pbs.twimg.com/profile_images/1412683192948215809/JE5ge8Uo_normal.jpg;joseffleki;;WAHR
Ales Juchelka;Q42585314;http://commons.wikimedia.org/wiki/Special:FilePath/Ale%C5%A1%20Juchelka%202018.jpg;FALSCH;;juchelkaa;;
Jana Mracková Vildumetzová;Q23649185;http://commons.wikimedia.org/wiki/Special:FilePath/Vildumetzova%202015.jpg;FALSCH;;JVildumetzova;;
Karel Haas;Q57414502;http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Haas.jpg;WAHR;https://pbs.twimg.com/profile_images/1590851512896479232/r3F075Im_normal.jpg;karel_haas;W. Lippmann: Stát ve svobodné spole?nosti záležitosti lidí neadministruje. Administruje spravedlnost mezi lidmi, kte?í se sami starají o své vlastní záležitosti;WAHR
Karel Turecek;Q14806317;;WAHR;https://pbs.twimg.com/profile_images/1478682848563535877/ta9YP8d0_normal.jpg;karel_turecek;;WAHR
Karel Havlícek;Q62087201;http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Havl%C3%AD%C4%8Dek%202019.jpg;FALSCH;;KarelHavlicek_;;
Karel Rais;Q12028490;http://commons.wikimedia.org/wiki/Special:FilePath/52%20rektor%20VUT%20v%20Brn%C4%9B.jpg;FALSCH;;KarelRais;;
Karel Sládecek;Q28753995;;WAHR;https://pbs.twimg.com/profile_images/378800000515903523/7a325ea1666c1f5e47919b56952d8334_normal.jpeg;KarelSladecek;;WAHR?
David Kasal;Q15208430;;WAHR;https://pbs.twimg.com/profile_images/1472997982161227778/ka129Jt2_normal.jpg;KasalDavi;;WAHR
Pavel Kasník;Q108872653;;WAHR;https://pbs.twimg.com/profile_images/1453620672228364293/RpnQf8XW_normal.jpg;KasnikPavel;Poslanec Poslanecké sn?movny P?R;WAHR
Klára Kocmanová;Q104831252;http://commons.wikimedia.org/wiki/Special:FilePath/Kl%C3%A1ra%20Kocmanov%C3%A1%2015%20November%202021.jpg;FALSCH;;KlaraKocmanova;;
Pavel Klíma;Q23891806;;FALSCH;;klima_pavel;;
Martin Kolovratník;Q15208432;http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Kolovratn%C3%ADk.jpg;FALSCH;;kolovratnikm;;
Radek Koten;Q44276389;;WAHR;;kotenSPD;;WAHR
Václav Král;Q108168316;;WAHR;;kralvaclav;;WAHR
Karel Krejza;Q29951473;http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Krejza%2025.%208.%202018%20Litom%C4%9B%C5%99ice.jpg;FALSCH;;KrejzaODS;;
Lenka Drazilová;Q42709699;;FALSCH;;LenkaDrazilova;;
Jarmila Levko;Q110626499;;WAHR;https://pbs.twimg.com/profile_images/1486604466484924416/23XcWEZC_normal.png;LevkoJarmila;;WAHR
Martina Ochodnická;Q108872652;;FALSCH;;LisovaMartina;;
Lubomír Broz;Q108872636;;FALSCH;;LuboBroz;;
Matej Havel;Q95140800;;FALSCH;;m_o_havel;;
Ivana Mádlová;Q95399573;;WAHR;https://pbs.twimg.com/profile_images/1448308542801338368/8B6Hee7d_normal.jpg;MadlovaIvana;Poslankyn? Parlamentu ?eské republiky ???? Mé pracovní zkušenosti mne nau?ily pomáhat.;WAHR
Martin Kupka;Q15054146;http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Kupka%202021%20crop.jpg;FALSCH;;makupka;;
Marek Benda;Q165114;http://commons.wikimedia.org/wiki/Special:FilePath/Marek%20Benda%202016.jpg;FALSCH;;marekbenda2013;;
Marek Výborný;Q30184731;http://commons.wikimedia.org/wiki/Special:FilePath/Marek%20V%C3%BDborn%C3%BD.jpg;FALSCH;;MarekVyborny;;
Marie Jílková;Q108872655;http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20J%C3%ADlkov%C3%A1.jpg;FALSCH;;MarieJilkova;;
Karla Maríková;Q33191643;;FALSCH;;MarikovaKarla;;
Markéta Pekarová Adamová;Q15124118;http://commons.wikimedia.org/wiki/Special:FilePath/Mark%C3%A9ta%20Pekarov%C3%A1%20Adamov%C3%A1%202018.jpg;FALSCH;;market_a;;
Martin Hájek;Q108749591;;WAHR;;Martin_Hajek;;WAHR
Martin Baxa;Q14806386;http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Baxa%20%28cropped%29.jpg;FALSCH;;MartinBaxa2;;
Martin Kukla;Q61995650;;WAHR;https://pbs.twimg.com/profile_images/1354825074293919745/0_MMmnRq_normal.jpg;MartinKukla6;Osobní a politické názory jednoho vesni?ana z Vyso?iny ??;WAHR
Martin Major;Q15905791;;WAHR;https://pbs.twimg.com/profile_images/849351050440171520/iKSWEwmm_normal.jpg;martinmajor13;;WAHR
Jirí Masek;Q43305500;http://commons.wikimedia.org/wiki/Special:FilePath/Wizyta%20czeskich%20parlamentarzyst%C3%B3w%20w%20MSZ.jpg;FALSCH;;MasekJir;;
Lubomír Metnar;Q44853914;http://commons.wikimedia.org/wiki/Special:FilePath/Metnar%20and%20Radev%20%28cropped%29.jpg;FALSCH;;metnarl;;
Michael Kohajda;Q108872660;;FALSCH;;MichaelKohajda;;
Michal Zuna;Q108872635;;FALSCH;;michal_zuna;;
Michal Kucera;Q14806405;;FALSCH;;MichKucera;;
Milada Voborská;Q108853191;;FALSCH;;MiladaVoborska;;
Milan Feranec;Q42585303;;WAHR;https://pbs.twimg.com/profile_images/1459574844727648257/vFNVUq-s_normal.jpg;MilanFeranec;Právník, poslanec Parlamentu ?R, radní m?sta Olomouce;WAHR
Milos Nový;Q95231207;;WAHR;https://pbs.twimg.com/profile_images/1457355566620286984/JcpVNXfd_normal.jpg;milos_novy;Poslanec TOP 09, místop?edseda rozpo?tového výboru;WAHR
Marian Jurecka;Q13434626;http://commons.wikimedia.org/wiki/Special:FilePath/Marian%20Jurecka%20-%20portrait.jpg;FALSCH;;MJureka;;
Michael Rataj;Q100828934;;WAHR;;mrataj;;WAHR
Tom Philipp;Q106962364;http://commons.wikimedia.org/wiki/Special:FilePath/Tom%20Philipp.jpg;FALSCH;;MUDr_TomPhilipp;;
Vojtech Munzar;Q42403351;http://commons.wikimedia.org/wiki/Special:FilePath/Vojtech%20Munzar.jpg;FALSCH;;munzar_vojtech;;
Miroslav Zborovský;Q108872654;;FALSCH;;MZborovsky;;
Hana Naiclerová;Q77833405;;FALSCH;;naiclerova;;
Nina Nováková;Q15124152;;FALSCH;;NinaNovakova10;;
