name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Ségolène Amiot;Q112650690;http://commons.wikimedia.org/wiki/Special:FilePath/Segolene%20Amiot%20meeting%20%28cropped%29.jpg;FALSCH;;SegoleneAmiot;;WAHR
Sébastien Rome;Q112635222;;FALSCH;;SebRome;;WAHR
Sébastien Chenu;Q21294609;http://commons.wikimedia.org/wiki/Special:FilePath/Denain%20-%20S%C3%A9bastien%20Chenu%20lors%20du%20conseil%20municipal%20du%2027%20juin%202016%20%28cropped%29.JPG;FALSCH;;sebchenu;;WAHR
Sébastien Jumel;Q3510156;http://commons.wikimedia.org/wiki/Special:FilePath/SJumel.jpg;FALSCH;;sebastienjumel;;WAHR
Sébastien Delogu;Q112640278;;FALSCH;;sebastiendelogu;;WAHR
Stéphane Delautrette;Q63764288;;FALSCH;;SDelautrette;;WAHR
Sophie Blanc;Q63411806;http://commons.wikimedia.org/wiki/Special:FilePath/Sophie%20Blanc%20en%202022.jpg;FALSCH;;sblanc66000;;WAHR
Sarah El Haïry;Q30343245;http://commons.wikimedia.org/wiki/Special:FilePath/Sarah-El-Ha%C3%AFry.jpg;FALSCH;;sarahelhairy;;WAHR
Sarah Tanzilli;Q112652319;;FALSCH;;sarah_tanzilli;;WAHR
Sandrine Rousseau;Q21013136;http://commons.wikimedia.org/wiki/Special:FilePath/Sandrine%20Rousseau%2020210819%20%28cropped%29.jpg;FALSCH;;sandrousseau;;WAHR
Sandrine Le Feur;Q30339295;;FALSCH;;SandrineLeFeur;;WAHR
Sandrine Josso;Q30343090;;FALSCH;;sandrinejossoAN;;WAHR
Sandrine Dogor-Such;Q112641764;http://commons.wikimedia.org/wiki/Special:FilePath/Sandrine%20Dogor-Such%20en%202022.jpg;FALSCH;;Sandrine_Dogor;;WAHR
Sandra Regol;Q109711972;;FALSCH;;sandraregol;;WAHR
Sacha Houlié;Q30349465;http://commons.wikimedia.org/wiki/Special:FilePath/Sacha%20Houli%C3%A9%2002%20%28cropped%29.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Sacha%20Houli%C3%A9%2002%20%28cropped%29.jpg;FALSCH;;SachaHoulie;;WAHR
Sabrina Sebaihi;Q112651173;;FALSCH;;SabrinaSebaihi;;WAHR
Sabrina Agresti-Roubache;Q112079050;;FALSCH;;SabrinaRoubache;;WAHR
Sabine Thillaye;Q30335895;http://commons.wikimedia.org/wiki/Special:FilePath/Sabine%20Thillaye%20%C3%A0%20l%27Assembl%C3%A9e%20nationale.jpg;FALSCH;;SabineThillaye;;WAHR
Stéphane Mazars;Q3501943;http://commons.wikimedia.org/wiki/Special:FilePath/St%C3%A9phane%20Mazars%20%28cropped%29.jpg;FALSCH;;S_Mazars;;WAHR
Sarah Legrain;Q112448632;;FALSCH;;S_Legrain;;WAHR
Soumya Bourouaha;Q112653866;;FALSCH;;S_Bourouaha;;WAHR
Roger Vicot;Q63764974;;FALSCH;;rvicot;;WAHR
Raphaël Schellenberger;Q30336912;http://commons.wikimedia.org/wiki/Special:FilePath/Rapha%C3%ABl%20Schellenberger%20%28cropped%29.jpg;FALSCH;;rscactu;;WAHR
Rémy Rebeyrotte;Q30332919;http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A9my%20Rebeyrotte.jpg;FALSCH;;RRebeyrotte;;WAHR
Lionel Royer-Perreaut;Q63763869;http://commons.wikimedia.org/wiki/Special:FilePath/Lionel%20Royer-Perreaut.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Lionel%20Royer-Perreaut.jpg;FALSCH;;RoyerPerreaut;;WAHR
Béatrice Roullaud;Q112652813;;FALSCH;;ROULLAUDBEATRIC;;WAHR
Romain Daubié;Q63765243;;FALSCH;;romaindaubie;;WAHR
Roland Lescure;Q30130489;http://commons.wikimedia.org/wiki/Special:FilePath/Roland%20Lescure%20au%20lib.%20du%20square%20Outremont%20--%201.png;FALSCH;;RolandLescure;;WAHR
Robin Reda;Q30386710;http://commons.wikimedia.org/wiki/Special:FilePath/Robin%20Reda.jpg;FALSCH;;robinreda;;WAHR
Marie-Pierre Rixain;Q30388327;http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Pierre%20Rixain%2002.jpg;FALSCH;;RixainMP;;WAHR
Raquel Garrido;Q28477665;http://commons.wikimedia.org/wiki/Special:FilePath/Raquel%20Garrido%20-%20photo%2015%20oct%202015%20-%201.jpg;FALSCH;;RaquelGarridoFr;;WAHR
Raphaël Gérard;Q30349124;http://commons.wikimedia.org/wiki/Special:FilePath/Rapha%C3%ABl%20G%C3%A9rard.jpg;FALSCH;;RaphaelGerard17;;WAHR
Quentin Bataillon;Q112650744;;FALSCH;;qbataillon;;WAHR
Loïc Prud’homme;Q30339287;http://commons.wikimedia.org/wiki/Special:FilePath/Lo%C3%AFc%20Prud%27homme.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Lo%C3%AFc%20Prud%27homme.jpg;FALSCH;;PrudhommeLoic;;WAHR
Prisca Thévenot;Q106020252;;FALSCH;;priscathevenot;;WAHR
Dominique Potier;Q3035399;http://commons.wikimedia.org/wiki/Special:FilePath/Dominique%20Potier%20jardin%204%20Colonnes%2019297.jpg;FALSCH;;PotierDominique;;WAHR
Thomas Portes;Q112653860;;FALSCH;;Portes_Thomas;;WAHR
Philippe Naillet;Q22683833;;FALSCH;;PNaillet;;WAHR
Pascal Lecamp;Q98234433;;FALSCH;;plecamp;;WAHR
Philippe Latombe;Q30349937;;FALSCH;;platombe;;WAHR
Pierrick Berteloot;Q112651488;;FALSCH;;pierrickbrtlo;;WAHR
Pierre Vatin;Q30506341;;FALSCH;;PierreVatinOff;;WAHR
Pierre Cazeneuve;Q87116010;http://commons.wikimedia.org/wiki/Special:FilePath/PierreCazeneuve%20D%C3%A9put%C3%A9%20des%20Hauts-de-Seine.jpg;FALSCH;;pierrecazeneuve;;WAHR
Anna Pic;Q63766396;;FALSCH;;PicAnna3;;WAHR
Philippe Lottiaux;Q41968379;;FALSCH;;phlottiaux;;WAHR
Philippe Juvin;Q445705;http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20Juvin%2002.JPG;FALSCH;;philippejuvin;;WAHR
Philippe Fait;Q63764370;;FALSCH;;PhilippeFait22;;WAHR
Philippe Gosselin;Q3379940;http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20Gosselin%201.JPG;FALSCH;;phgosselin;;WAHR
Pierre-Henri Dumont;Q30506365;http://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Henri%20Dumont%2002.jpg;FALSCH;;phdumont;;WAHR
Philippe Bolo;Q30339415;http://commons.wikimedia.org/wiki/Special:FilePath/Philippe-Bolo.jpg;FALSCH;;phbolo;;WAHR
Philippe Sorez;Q63764906;;WAHR;https://pbs.twimg.com/profile_images/1580497229995024390/YGWDDa63_normal.jpg;ph_sorez;Député de l'Hérault - Membre de la commission de la Défense nationale et des forces armées - VP Eau et Biodiversité - #Renaissance #TdP;WAHR
Philippe Schreck;Q112654787;;FALSCH;;Ph_Schreck;;WAHR
Perceval Gaillard;Q112650360;;FALSCH;;Persovalgayar;;WAHR
Patrice Perrot;Q30343102;;WAHR;https://pbs.twimg.com/profile_images/1198690234520743936/SqjjwPxW_normal.jpg;perrot_patrice;;WAHR
Perrine Goulet;Q30349381;http://commons.wikimedia.org/wiki/Special:FilePath/Perrine%20Goulet.jpg;FALSCH;;perrinegoulet;;WAHR
Pierre Dharréville;Q30334188;http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Dharr%C3%A9ville%20.jpg;FALSCH;;pdharreville;;WAHR
Philippe Berta;Q3379341;http://commons.wikimedia.org/wiki/Special:FilePath/Philippe%20Berta%2002.jpg;FALSCH;;PBertaGard;;WAHR
Paul Vannier;Q112654146;;FALSCH;;PaulVannierFI;;WAHR
Paul Molac;Q3371854;http://commons.wikimedia.org/wiki/Special:FilePath/FIL%202013%20-%20remise%20des%20troph%C3%A9es%20championnat%20national%20des%20bagado%C3%B9%202013%20-%20Paul%20Molac.JPG;FALSCH;;Paul_Molac;;WAHR
Patrick Vignal;Q3369924;http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20Vignal.jpg;FALSCH;;PatrickVignal;;WAHR
Patrick Hetzel;Q3369516;http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20HETZEL.JPG;FALSCH;;patrickhetzel;;WAHR
Pascal Lavergne;Q57394737;http://commons.wikimedia.org/wiki/Special:FilePath/Pascal%20Lavergne.jpg;FALSCH;;pasclavergne;;WAHR
Pascale Martin;Q112641704;;FALSCH;;PascaleMartin24;;WAHR
Pascale Boyer;Q30339200;http://commons.wikimedia.org/wiki/Special:FilePath/Pascale%20Boyer.jpg;FALSCH;;pascaleboyer05;;WAHR
Caroline Parmentier;Q110934545;;FALSCH;;Parmentier_RN;;WAHR
Paul-André Colombani;Q30342982;http://commons.wikimedia.org/wiki/Special:FilePath/Paul-Andr%C3%A9%20Colombani.jpg;FALSCH;;pacolombani;;WAHR
Pieyre-Alexandre Anglade;Q30342405;http://commons.wikimedia.org/wiki/Special:FilePath/Pieyre-Alexandre%20Anglade%20%28cropped%29.jpg;FALSCH;;PA_Anglade;;WAHR
Philippe Pradal;Q24452013;;FALSCH;;p_pradal;;WAHR
