name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Gabriela Heinrich;Q15811213;http://commons.wikimedia.org/wiki/Special:FilePath/Gabriela%20Heinrich%20%282021%29.jpg;FALSCH;;;;WAHR
Jens Koeppen;Q1687254;http://commons.wikimedia.org/wiki/Special:FilePath/Koeppen%2C%20Jens-0496.jpg;FALSCH;;;;WAHR
Kerstin Griese;Q1739660;http://commons.wikimedia.org/wiki/Special:FilePath/Griese%2C%20Kerstin-0558.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Kerstin%20Griese%20%282021%29.jpg;FALSCH;;;;WAHR
Kerstin Radomski;Q15813779;http://commons.wikimedia.org/wiki/Special:FilePath/Radomski%2C%20Kerstin-9608.jpg;FALSCH;;;;WAHR
Kevin Leiser;Q108756973;;FALSCH;;;;WAHR
Kevin Kühnert;Q43567875;http://commons.wikimedia.org/wiki/Special:FilePath/Kevin%20K%C3%BChnert%20%282021%29%20%28cropped%29.jpg;FALSCH;;;;WAHR
Nadja Sthamer;Q108738347;;FALSCH;;;;WAHR
Sören Bartol;Q91081;http://commons.wikimedia.org/wiki/Special:FilePath/Bartol%2C%20S%C3%B6ren-0353.jpg;FALSCH;;;;WAHR
Tanja Machalet;Q1569979;http://commons.wikimedia.org/wiki/Special:FilePath/Dr.%20Tanja%20Machalet%20%282021%29.jpg;FALSCH;;;;WAHR
Wolfgang Schäuble;Q16019;http://commons.wikimedia.org/wiki/Special:FilePath/Wolfgang%20Sch%C3%A4uble%20-%202017%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1824634954/chaperon18_normal.jpg;;German Federal Minister of Finance;WAHR? Wolf_Schauble
Maria-Lena Weiss;Q108708651;;WAHR;https://pbs.twimg.com/profile_images/489821152756264960/TjDp5Pvz_normal.jpeg;;;WAHR? MariaLenaWeiss
Gereon Bollmann;Q40882357;;WAHR;https://pbs.twimg.com/profile_images/1606676549398368256/0dgUklLG_normal.jpg;;Ernst;WAHR? Der_Starost
Anja Schulz;Q108758116;;FALSCH;;_anja_schulz;;WAHR
Friedrich Merz;Q566257;http://commons.wikimedia.org/wiki/Special:FilePath/Friedrich%20Merz%20in%20March%202022.jpg;FALSCH;;_FriedrichMerz;;WAHR
Sanae Abdi;Q108733090;http://commons.wikimedia.org/wiki/Special:FilePath/Abdi%20Sanae.jpg;FALSCH;;_sanaeabdi;;WAHR
Thomas Rachel;Q2426649;http://commons.wikimedia.org/wiki/Special:FilePath/2020-02-13%20Thomas%20Rachel%20%28Bundestagsprojekt%202020%29%20by%20Sandro%20Halank%E2%80%934.jpg;FALSCH;;_ThomasRachel;;WAHR
Angelika Glöckner;Q19834635;http://commons.wikimedia.org/wiki/Special:FilePath/Angelika%20Gl%C3%B6ckner%20%282021%29.jpg;FALSCH;;A_Gloeckner;;WAHR
Annalena Baerbock;Q564328;http://commons.wikimedia.org/wiki/Special:FilePath/2021-12-07%20Unterzeichnung%20des%20Koalitionsvertrages%20der%2020.%20Wahlperiode%20des%20Bundestages%20by%20Sandro%20Halank%E2%80%93076%20%28cropped%29.jpg;FALSCH;;ABaerbock;;WAHR
Achim Post;Q340448;http://commons.wikimedia.org/wiki/Special:FilePath/2018-12-09%20SPD%20Europadelegiertenkonferenz%20Achim%20Post%202848.jpg;FALSCH;;Achim_P;;WAHR
Stephan Protschka;Q40881060;;FALSCH;;AfDProtschka;;WAHR
Eugen Schmidt;Q108758075;http://commons.wikimedia.org/wiki/Special:FilePath/%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9%20%D0%A8%D0%BC%D0%B8%D0%B4%D1%82%20%2818-03-2017%29%20%28cropped%29.jpg;FALSCH;;AfDrus;;WAHR
Alexander Gauland;Q1670311;http://commons.wikimedia.org/wiki/Special:FilePath/2019-04-11%20Pressekonferenz%20der%20AfD%20by%20Olaf%20Kosinsky-8116%20%28cropped%29.jpg;FALSCH;;AG_AfD;;WAHR
Agnieszka Brugger;Q109309;http://commons.wikimedia.org/wiki/Special:FilePath/Agnieszka%20Brugger%202013.jpg;FALSCH;;agnieszka_mdb;;WAHR
Gökay Akbulut;Q40997638;http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20G%C3%B6kay%20Akbulut%20Foto%20Andi%20Weiland.jpg;FALSCH;;AkbulutGokay;;WAHR
Alexander Throm;Q2643140;http://commons.wikimedia.org/wiki/Special:FilePath/2013-05-15%2016%20-%20Throm%2C%20Alexander%2C%20MdL%20-%20LTBW%20-%205137.jpg;FALSCH;;alexander_throm;;WAHR
Alexander Radwan;Q78198;http://commons.wikimedia.org/wiki/Special:FilePath/Radwan%2C%20Alexander-0074.jpg;FALSCH;;AlexanderRadwan;;WAHR
Alexander Müller;Q40998561;http://commons.wikimedia.org/wiki/Special:FilePath/2019-05-09%20Alexander%20M%C3%BCller%20FDP%20MdB%20by%20Olaf%20Kosinsky-1655.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20M%C3%BCller.jpg;FALSCH;;alexmuellerfdp;;WAHR
Ali Al-Dailami;Q87280096;http://commons.wikimedia.org/wiki/Special:FilePath/2018-06-09%20Bundesparteitag%20Die%20Linke%202018%20in%20Leipzig%20by%20Sandro%20Halank%E2%80%93153.jpg;FALSCH;;ali_aldailami;;WAHR
Alice Weidel;Q27975838;http://commons.wikimedia.org/wiki/Special:FilePath/Alice%20Weidel%2080-16a.jpg;FALSCH;;Alice_Weidel;;WAHR
Alois Rainer;Q15434505;http://commons.wikimedia.org/wiki/Special:FilePath/Rainer%20Alois%202017%20by%20Tobias%20Koch.jpg;FALSCH;;AloisRainer;;WAHR
Andreas Mattfeldt;Q499449;http://commons.wikimedia.org/wiki/Special:FilePath/Andreas%20Mattfeldt%202013.jpg;FALSCH;;amattfeldt;;WAHR
