name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Marietta Karamanli;Q3293018;;FALSCH;;karamanli72;;WAHR
Marine Brenier;Q20991576;http://commons.wikimedia.org/wiki/Special:FilePath/Marine%20Brenier.jpg;FALSCH;;marinebrenier;;WAHR
Marine Le Pen;Q12927;http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9C%D0%B0%D1%80%D0%B8%D0%BD%20%D0%9B%D0%B5%20%D0%9F%D0%B5%D0%BD%20%2828-01-2022%29.jpg;FALSCH;;MLP_officiel;;WAHR
Marion Lenne;Q30376256;http://commons.wikimedia.org/wiki/Special:FilePath/Marion%20LENNE%20-%20Mai%202020.jpg;FALSCH;;LenneHaute;;WAHR
Marjolaine Meynier-Millefert;Q30378641;http://commons.wikimedia.org/wiki/Special:FilePath/Marjolaine%20Meynier-Millefert.jpg;FALSCH;;M_MeynierM;;WAHR
Martine Leguille-Balloy;Q30376107;http://commons.wikimedia.org/wiki/Special:FilePath/Martine%20Leguille-Balloy.jpg;FALSCH;;LeguilleBalloy;;WAHR
Martine Wonner;Q30339343;http://commons.wikimedia.org/wiki/Special:FilePath/Martine%20Wonner%20par%20Claude%20Truong-Ngoc%20juillet%202017.jpg;FALSCH;;MartineWonner;;WAHR
Mathilde Panot;Q30343128;http://commons.wikimedia.org/wiki/Special:FilePath/Mathilde%20Panot%20en%202017.jpg;FALSCH;;MathildePanot;;WAHR
Matthieu Orphelin;Q30351663;http://commons.wikimedia.org/wiki/Special:FilePath/Matthieu%20Orphelin%20%28cropped%29.jpg;FALSCH;;M_Orphelin;;WAHR
Maud Gatel;Q71567030;;FALSCH;;maudgatel;;WAHR
Maud Petit;Q30511580;http://commons.wikimedia.org/wiki/Special:FilePath/Maud-Petit.jpg;FALSCH;;MaudPetit_AN94;;WAHR
Max Mathiasin;Q30378055;http://commons.wikimedia.org/wiki/Special:FilePath/Max%20Mathiasin.jpg;FALSCH;;MaxMathiasin;;WAHR
Maxime Minot;Q30509432;http://commons.wikimedia.org/wiki/Special:FilePath/Maxime%20Minot.jpg;FALSCH;;MaximeMinot;;WAHR
Meyer Habib;Q13426765;;FALSCH;;Meyer_Habib;;WAHR
Michel Castellani;Q30342903;http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Castellani.jpg;FALSCH;;Castellani_;;WAHR
Michel Delpon;Q30395630;;FALSCH;;DelponMichelEM;;WAHR
Michel Fanget;Q3309604;http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Fanget%20%283%29.jpg;FALSCH;;michelfanget;;WAHR
