name;id;image;searched on twitter;twitter image;twitter;twitter description;Bestätigt
Sandra Moneo;Q6119979;http://commons.wikimedia.org/wiki/Special:FilePath/Sandra%20Moneo%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1255528127369023489/05LM8rP4_normal.jpg;DiezMoneo;Diputada en el Congreso de los diputados GPP.;WAHR
Luc Andre Diouf Dioh;Q66663407;http://commons.wikimedia.org/wiki/Special:FilePath/Luc%20Andr%C3%A9%20Diouf%20Dioh.jpg;FALSCH;;dioufluc;;WAHR
David Serrada Pariente;Q27999092;http://commons.wikimedia.org/wiki/Special:FilePath/David%20Serrada%20Pariente.jpg;FALSCH;;dvserrada;;WAHR
Emilio del Valle;Q8775589;http://commons.wikimedia.org/wiki/Special:FilePath/%28Emilio%20del%20Valle%29%20Inmaculada%20Valencia%20toma%20posesi%C3%B3n%20como%20directora%20general%20de%20Econom%C3%ADa%20y%20Asuntos%20Europeos.jpg;FALSCH;;edelvallerod;;WAHR
Eduardo Carazo Hermoso;Q81765006;http://commons.wikimedia.org/wiki/Special:FilePath/Eduardo%20Carazo.jpg;FALSCH;;educarazo;;WAHR
Edurne Uriarte;Q8772477;http://commons.wikimedia.org/wiki/Special:FilePath/%28Edurne%20Uriarte%29%20Pablo%20Casado%20presenta%20el%20libro%20de%20Edurne%20Uriarte%20%22Feminista%20de%20Derechas%22%20%2847260097752%29%20%28cropped%29.jpg;FALSCH;;EdurneUriarte;;WAHR
Carla Toscano de Balbín;Q63862138;;FALSCH;;eledhmel;;WAHR
Eloy Suárez;Q27755620;http://commons.wikimedia.org/wiki/Special:FilePath/ELOY%20SUAREZ.JPG;FALSCH;;eloysuarezl;;WAHR
Elvira Ramón;Q19824341;http://commons.wikimedia.org/wiki/Special:FilePath/%28Elvira%20Ram%C3%B3n%29%20Sesi%C3%B3n%20control%2012.09.2018.jpg;FALSCH;;ElviraRamon;;WAHR
Enrique Santiago;Q5573261;http://commons.wikimedia.org/wiki/Special:FilePath/EnriqueSantiago2.jpg;FALSCH;;EnriqueSantiago;;WAHR
Elvira Rodríguez;Q3051830;http://commons.wikimedia.org/wiki/Special:FilePath/Elvira%20Rodr%C3%ADguez%202011%20%28cropped%29.jpg;FALSCH;;erodriguez_2019;;WAHR
Pedro Antonio Honrubia Hurtado;Q66663436;;FALSCH;;Eselkaos;;WAHR
Esther Padilla Ruiz;Q66663481;;FALSCH;;estherpadillar;;WAHR
Esther Peña Camarero;Q27758382;http://commons.wikimedia.org/wiki/Special:FilePath/%28Esther%20Pe%C3%B1a%29%202018-06-20%2C%20El%20presidente%20del%20Gobierno%2C%20Pedro%20S%C3%A1nchez%2C%20durante%20su%20intervenci%C3%B3n%20en%20la%20sesi%C3%B3n%20de%20control%20en%20el%20Congreso%20de%20los%20Diputados.jpg;FALSCH;;estherpcamarero;;WAHR
Eva Bravo Barco;Q66663384;;FALSCH;;EvaBravoBarco;;WAHR
Eva Patricia Bueno Campanario;Q66663385;;FALSCH;;evapatriciab;;WAHR
Elvira Velasco Morillo;Q44245783;;WAHR;https://pbs.twimg.com/profile_images/1502560143153709057/mo-2tBZQ_normal.jpg;Evelascomorillo;Enfermera. Diputada por Zamora. Portavoz de Sanidad @populares;WAHR
Felipe Sicilia;Q19826434;http://commons.wikimedia.org/wiki/Special:FilePath/%28Felipe%20Sicilia%29%20Sesi%C3%B3n%20control%2012.09.2018.jpg;FALSCH;;felipe_sicilia;;WAHR
Ferran Bel Accensi;Q14122374;http://commons.wikimedia.org/wiki/Special:FilePath/65a%20Nit%20Ferran%20Bel%20alcalde%20Foto%20Omnium%20Ramon%20Boadella%20%2823373982089%29%20%28cropped%29.jpg;FALSCH;;ferran_bel;;WAHR
José María Figaredo Álvarez-Sala;Q65146316;http://commons.wikimedia.org/wiki/Special:FilePath/Jos%C3%A9%20Mar%C3%ADa%20Figaredo%20%C3%81lvarez-Sala.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Jos%C3%A9%20Mar%C3%ADa%20Figaredo%20%C3%81lvarez-Sala.jpg;FALSCH;;FigaredoJoseM;;WAHR
Francisco José Contreras Peláez;Q63381182;http://commons.wikimedia.org/wiki/Special:FilePath/El%20catedr%C3%A1tico%20Francisco%20Jos%C3%A9%20Contreras%20tras%20recibir%20su%20premio.jpg;FALSCH;;fjconpe;;WAHR
Francisco José Alcaraz;Q5866375;http://commons.wikimedia.org/wiki/Special:FilePath/Congreso%20de%20Eciudadanos%202011%20%282%29%20%28cropped%29.jpg;FALSCH;;fjosealcaraz;;WAHR
Fuensanta Lima Cid;Q66663441;;FALSCH;;fuensantalima;;WAHR
Gerardo Pisarello;Q19936193;http://commons.wikimedia.org/wiki/Special:FilePath/Gerardo%20Pisarello%20Comisi%C3%B3n%20Congreso.jpg;FALSCH;;G_Pisarello;;WAHR
Gabriel Elorriaga Pisarik;Q5873315;http://commons.wikimedia.org/wiki/Special:FilePath/Gabriel%20Elorriaga%20in%20the%20EPP%20Convention%20On%20Climate%20Change%20in%20Madrid%20%286-7%20February%202008%29.jpg;FALSCH;;gabrielorriaga;;WAHR
Gabriel Rufián;Q20876620;http://commons.wikimedia.org/wiki/Special:FilePath/Gabriel%20Rufi%C3%A1n%202019.png;FALSCH;;gabrielrufian;;WAHR
Pilar Garrido Gutiérrez;Q28872546;http://commons.wikimedia.org/wiki/Special:FilePath/Pilar%20Garrido.%202018.%20Instituto%2025m%20%28cropped%29.jpg;FALSCH;;PilarGarrido_;;WAHR
Carlos García Adanero;Q12255661;;WAHR;https://pbs.twimg.com/profile_images/1579505689076146176/fm4odfLo_normal.jpg;GarciaAdanero;Diputado en el @Congreso_Es de Navarra Suma;WAHR
Gema López Somoza;Q66547767;;FALSCH;;GemaL_Somoza;;WAHR
